Device: cuda
Loaded 46588 samples from cache
Channel weights: user=1.0, assistant=1.2
Normalization: l2
Embeddings shape: (46588, 9216)
Embedding dimension: 9216
Model parameters: 9,879,681

=== PHASE 1: PROBE (5 epochs) ===
Epoch 97/1000 — loss: 0.0029, val MAE: 0.0246
Epoch 98/1000 — loss: 0.0026, val MAE: 0.0221
Epoch 99/1000 — loss: 0.0028, val MAE: 0.0302
Epoch 100/1000 — loss: 0.0040, val MAE: 0.0276
Epoch 101/1000 — loss: 0.0032, val MAE: 0.0306
Epoch 102/1000 — loss: 0.0032, val MAE: 0.0303
Epoch 103/1000 — loss: 0.0028, val MAE: 0.0331
Epoch 104/1000 — loss: 0.0037, val MAE: 0.0307
Epoch 105/1000 — loss: 0.0030, val MAE: 0.0225
Epoch 106/1000 — loss: 0.0023, val MAE: 0.0229
Epoch 107/1000 — loss: 0.0022, val MAE: 0.0233
Epoch 108/1000 — loss: 0.0020, val MAE: 0.0202
Epoch 109/1000 — loss: 0.0022, val MAE: 0.0231
Epoch 110/1000 — loss: 0.0027, val MAE: 0.0238
Epoch 111/1000 — loss: 0.0027, val MAE: 0.0231
Epoch 112/1000 — loss: 0.0022, val MAE: 0.0202
Epoch 113/1000 — loss: 0.0027, val MAE: 0.0246
Epoch 114/1000 — loss: 0.0028, val MAE: 0.0225
Epoch 115/1000 — loss: 0.0025, val MAE: 0.0230
Epoch 116/1000 — loss: 0.0027, val MAE: 0.0259
Epoch 117/1000 — loss: 0.0027, val MAE: 0.0217
Epoch 118/1000 — loss: 0.0026, val MAE: 0.0213
Epoch 119/1000 — loss: 0.0026, val MAE: 0.0319
Epoch 120/1000 — loss: 0.0032, val MAE: 0.0238
Epoch 121/1000 — loss: 0.0027, val MAE: 0.0209
Epoch 122/1000 — loss: 0.0026, val MAE: 0.0287
Epoch 123/1000 — loss: 0.0034, val MAE: 0.0297
Epoch 124/1000 — loss: 0.0028, val MAE: 0.0220
Epoch 125/1000 — loss: 0.0024, val MAE: 0.0212
Epoch 126/1000 — loss: 0.0027, val MAE: 0.0289
Epoch 127/1000 — loss: 0.0025, val MAE: 0.0225
Epoch 128/1000 — loss: 0.0025, val MAE: 0.0377
Epoch 129/1000 — loss: 0.0031, val MAE: 0.0226
Epoch 130/1000 — loss: 0.0024, val MAE: 0.0216
Epoch 131/1000 — loss: 0.0027, val MAE: 0.0243
Epoch 132/1000 — loss: 0.0022, val MAE: 0.0222
Epoch 133/1000 — loss: 0.0022, val MAE: 0.0234
Epoch 134/1000 — loss: 0.0024, val MAE: 0.0221
Epoch 135/1000 — loss: 0.0026, val MAE: 0.0242
Epoch 136/1000 — loss: 0.0025, val MAE: 0.0228
Epoch 137/1000 — loss: 0.0026, val MAE: 0.0205
Epoch 138/1000 — loss: 0.0022, val MAE: 0.0208
Epoch 139/1000 — loss: 0.0025, val MAE: 0.0203
Epoch 140/1000 — loss: 0.0028, val MAE: 0.0261
Epoch 141/1000 — loss: 0.0024, val MAE: 0.0230
Epoch 142/1000 — loss: 0.0020, val MAE: 0.0197
Epoch 143/1000 — loss: 0.0022, val MAE: 0.0191
Epoch 144/1000 — loss: 0.0019, val MAE: 0.0186
Epoch 145/1000 — loss: 0.0018, val MAE: 0.0180
Epoch 146/1000 — loss: 0.0023, val MAE: 0.0403
Epoch 147/1000 — loss: 0.0037, val MAE: 0.0295
Epoch 148/1000 — loss: 0.0028, val MAE: 0.0215
Epoch 149/1000 — loss: 0.0019, val MAE: 0.0194
Epoch 150/1000 — loss: 0.0017, val MAE: 0.0194
Epoch 151/1000 — loss: 0.0019, val MAE: 0.0195
Epoch 152/1000 — loss: 0.0024, val MAE: 0.0204
Epoch 153/1000 — loss: 0.0020, val MAE: 0.0194
Epoch 154/1000 — loss: 0.0020, val MAE: 0.0191
Epoch 155/1000 — loss: 0.0018, val MAE: 0.0203
Epoch 156/1000 — loss: 0.0018, val MAE: 0.0173
Epoch 157/1000 — loss: 0.0018, val MAE: 0.0200
Epoch 158/1000 — loss: 0.0022, val MAE: 0.0188
Epoch 159/1000 — loss: 0.0018, val MAE: 0.0190
Epoch 160/1000 — loss: 0.0018, val MAE: 0.0189
Epoch 161/1000 — loss: 0.0018, val MAE: 0.0186
Epoch 162/1000 — loss: 0.0019, val MAE: 0.0220
Epoch 163/1000 — loss: 0.0023, val MAE: 0.0197
Epoch 164/1000 — loss: 0.0027, val MAE: 0.0258
Epoch 165/1000 — loss: 0.0030, val MAE: 0.0212
Epoch 166/1000 — loss: 0.0021, val MAE: 0.0193
Epoch 167/1000 — loss: 0.0022, val MAE: 0.0291
Epoch 168/1000 — loss: 0.0026, val MAE: 0.0209
Epoch 169/1000 — loss: 0.0021, val MAE: 0.0208
Epoch 170/1000 — loss: 0.0022, val MAE: 0.0210
Epoch 171/1000 — loss: 0.0021, val MAE: 0.0186
Epoch 172/1000 — loss: 0.0020, val MAE: 0.0185
Epoch 173/1000 — loss: 0.0021, val MAE: 0.0188
Epoch 174/1000 — loss: 0.0021, val MAE: 0.0197
Epoch 175/1000 — loss: 0.0022, val MAE: 0.0205
Epoch 176/1000 — loss: 0.0024, val MAE: 0.0195
Epoch 177/1000 — loss: 0.0020, val MAE: 0.0186
Epoch 178/1000 — loss: 0.0022, val MAE: 0.0185
Epoch 179/1000 — loss: 0.0026, val MAE: 0.0196
Epoch 180/1000 — loss: 0.0022, val MAE: 0.0242
Epoch 181/1000 — loss: 0.0023, val MAE: 0.0211
Epoch 182/1000 — loss: 0.0021, val MAE: 0.0197
Epoch 183/1000 — loss: 0.0019, val MAE: 0.0181
Epoch 184/1000 — loss: 0.0021, val MAE: 0.0187
Epoch 185/1000 — loss: 0.0020, val MAE: 0.0178
Epoch 186/1000 — loss: 0.0018, val MAE: 0.0164
Epoch 187/1000 — loss: 0.0018, val MAE: 0.0166
Epoch 188/1000 — loss: 0.0018, val MAE: 0.0183
Epoch 189/1000 — loss: 0.0020, val MAE: 0.0183
Epoch 190/1000 — loss: 0.0019, val MAE: 0.0175
Epoch 191/1000 — loss: 0.0018, val MAE: 0.0174
Epoch 192/1000 — loss: 0.0020, val MAE: 0.0183
Epoch 193/1000 — loss: 0.0020, val MAE: 0.0177
Epoch 194/1000 — loss: 0.0022, val MAE: 0.0222
Epoch 195/1000 — loss: 0.0023, val MAE: 0.0206
Epoch 196/1000 — loss: 0.0019, val MAE: 0.0189
Epoch 197/1000 — loss: 0.0018, val MAE: 0.0174
Epoch 198/1000 — loss: 0.0016, val MAE: 0.0163
Epoch 199/1000 — loss: 0.0023, val MAE: 0.0195
Epoch 200/1000 — loss: 0.0024, val MAE: 0.0181
Epoch 201/1000 — loss: 0.0017, val MAE: 0.0163
Epoch 202/1000 — loss: 0.0016, val MAE: 0.0168
Epoch 203/1000 — loss: 0.0016, val MAE: 0.0166
Epoch 204/1000 — loss: 0.0016, val MAE: 0.0175
Epoch 205/1000 — loss: 0.0021, val MAE: 0.0190
Epoch 206/1000 — loss: 0.0022, val MAE: 0.0194
Epoch 207/1000 — loss: 0.0021, val MAE: 0.0239
Epoch 208/1000 — loss: 0.0025, val MAE: 0.0185
Epoch 209/1000 — loss: 0.0019, val MAE: 0.0183
Epoch 210/1000 — loss: 0.0019, val MAE: 0.0175
Epoch 211/1000 — loss: 0.0020, val MAE: 0.0210
Epoch 212/1000 — loss: 0.0020, val MAE: 0.0180
Epoch 213/1000 — loss: 0.0017, val MAE: 0.0174
Epoch 214/1000 — loss: 0.0018, val MAE: 0.0169
Epoch 215/1000 — loss: 0.0017, val MAE: 0.0177
Epoch 216/1000 — loss: 0.0016, val MAE: 0.0160
Epoch 217/1000 — loss: 0.0016, val MAE: 0.0170
Epoch 218/1000 — loss: 0.0016, val MAE: 0.0174
Epoch 219/1000 — loss: 0.0016, val MAE: 0.0238
Epoch 220/1000 — loss: 0.0025, val MAE: 0.0209
Epoch 221/1000 — loss: 0.0016, val MAE: 0.0160
Epoch 222/1000 — loss: 0.0015, val MAE: 0.0169
Epoch 223/1000 — loss: 0.0016, val MAE: 0.0152
Epoch 224/1000 — loss: 0.0026, val MAE: 0.0186
Epoch 225/1000 — loss: 0.0017, val MAE: 0.0159
Epoch 226/1000 — loss: 0.0014, val MAE: 0.0160
Epoch 227/1000 — loss: 0.0017, val MAE: 0.0159
Epoch 228/1000 — loss: 0.0017, val MAE: 0.0154
Epoch 229/1000 — loss: 0.0018, val MAE: 0.0165
